"Name","Version","PSComputerName"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF130796"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF130796"
"Microsoft OLE DB Driver for SQL Server","18.3.0.0","STF130796"
"Microsoft Analysis Services OLE DB Provider","15.0.2000.20","STF130796"
"ProMonitor Administration Utility","7.0.0","STF130796"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30135","14.29.30135","STF130796"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","STF130796"
"ProMetrix","18.2.1","STF130796"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","STF130796"
"Microsoft Help Viewer 2.3","2.3.28107","STF130796"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF130796"
"Microsoft FSLogix Apps","2.9.7205.27375","STF130796"
"Dameware Mini Remote Control x64","12.2.2.12","STF130796"
"Microsoft FSLogix Apps","2.9.7205.27375","STF130796"
"SQL Server Management Studio","15.0.18358.0","STF130796"
"Google Chrome","107.0.5304.107","STF130796"
"ProGeneral","19.4.0","STF130796"
"ProMonitor Training Administration Utility","7.0.0","STF130796"
"PSI In-application Plugin","1.0.267","STF130796"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60729","STF130796"
"ProSolution","13.0.0","STF130796"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","STF130796"
"Java 8 Update 161","8.0.1610.12","STF130796"
"Java 8 Update 161 (64-bit)","8.0.1610.12","STF130796"
"ProVerify","18.1.0","STF130796"
"Microsoft Edge","107.0.1418.35","STF130796"
"ProResource","1.0.0","STF130796"
"Windows Firewall Configuration Provider","1.2.3412.0","STF130796"
"SQL Server Management Studio","15.0.18358.0","STF130796"
"WithSecure? Elements Agent","4.38.440.0","STF130796"
"SQL Server Management Studio for Analysis Services","15.0.18358.0","STF130796"
"Adobe Acrobat (64-bit)","22.003.20263","STF130796"
"Adobe Refresh Manager","1.8.0","STF130796"
"Rainbow (msi package installation)","1.73.1.0","STF130796"
"ProAchieve","19.4.0","STF130796"
"Microsoft SQL Server 2012 Native Client ","11.4.7462.6","STF130796"
"Duo Authentication for Windows Logon x64","4.2.0.1263","STF130796"
"Microsoft Analysis Services OLE DB Provider","15.0.2000.20","STF130796"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","STF130796"
"ProPortal Administration Utility","1.1.0","STF130796"
"SMART Notebook","11.4.564.0","STF130796"
"Microsoft ODBC Driver 17 for SQL Server","17.5.1.1","STF130796"
"ProPortal Training Administration Utility","1.1.0","STF130796"
"Integration Services","15.0.2000.128","STF130796"
"7-Zip 22.00 (x64 edition)","22.00.00.0","STF130796"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30135","14.29.30135","STF130796"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30135","14.29.30135","STF130796"
"ProObserve","18.1.1","STF130796"
"ProSAR","19.1.1","STF130796"
"Teams Machine-Wide Installer","1.4.0.26376","STF130796"
"ProEngage","19.1.3","STF130796"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","STF130796"
"Visual Studio 2017 Isolated Shell for SSMS","15.0.28307.421","STF130796"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30135","14.29.30135","STF130796"
"SQL Server Management Studio for Reporting Services","15.0.18358.0","STF130796"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","STF130796"
"ConfigMgr 2012 Toolkit R2","5.00.7958.1151","STF130796"
"Education Software 2013 December Update","11.4.120.0","STF130796"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","STF130796"
"Microsoft Silverlight","5.1.50428.0","STF130796"
"Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support","15.0.27520","STF130796"
"SMART English (United Kingdom) Language Pack","11.4.19.0","STF130796"
"Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support","15.0.27520","STF130796"
"Configuration Manager Client","5.00.9058.1000","STF130796"
"Curriculum Surveyor Administrator","2.65.3","STF130796"
"SSMS Post Install Tasks","15.0.18358.0","STF130796"
"ProSolutionTraining","13.0.0","STF130796"
"Microsoft Policy Platform","68.1.1010.0","STF130796"
"Java Auto Updater","2.8.161.12","STF130796"
"SMART Common Files","11.5.159.0","STF130796"
